label,message
spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch 
spam,TBS/PERSOLVO. been chasing us since Sept for£38 definitely not paying now thanks to your information. We will ignore them. Kath. Manchester.
spam,WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u.
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
spam,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
spam,RCT' THNQ Adrian for U text. Rgds Vatian
ham,"Ya ok, then had dinner?"
spam,Ew are you one of them?
spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321."
ham,Ard 6 like dat lor.
ham,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+"
spam,But we havent got da topic yet rite?
ham,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
spam,Would really appreciate if you call me. Just need someone to talk to.
ham,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
ham,Eat jap done oso aft ur lect wat... Ü got lect at 12 rite... 
spam,Lol alright i was thinkin that too haha
spam,"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)"
spam,"What's up bruv, hope you had a great break. Do have a rewarding semester."
spam,HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN
spam,Kent vale lor... Ü wait 4 me there ar?
spam,How much i gave to you. Morning.
spam,"What are you doing in langport? Sorry, but I'll probably be in bed by 9pm. It sucks being ill at xmas! When do you and go2sri lanka? "
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
spam,So how are you really. What are you up to. How's the masters. And so on.
ham,"U've been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday valued at £350! Dial 08712300220 to claim - National Rate Call. Bx526, SW73SS"
spam,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
ham,U GOIN OUT 2NITE?
ham,The evo. I just had to download flash. Jealous?
spam,Pls go there today  &lt;#&gt; . I dont want any excuses
spam,"Set a place for me in your heart and not in your mind, as the mind easily forgets but the heart will always remember. Wish you Happy Valentines Day!"
spam,I'm in class. Will holla later
ham,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .
spam,Hey... Very inconvenient for your sis a not huh?
spam,You are gorgeous! keep those pix cumming :) thank you!
ham,Wat uniform? In where get?
ham,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
ham,K.:)do it at evening da:)urgent:)
ham,"Congratulations! Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
spam,Yes there were many sweets
spam,Wat's my dear doing? Sleeping ah?
ham,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible
spam,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
spam,Take us out shopping and Mark will distract Isaiah.=D
ham,Ya it came a while ago
spam,Dear got train and seat mine lower seat
ham,I am in office:)whats the matter..msg me now.i will call you at break:).
spam,"Thanks for your ringtone order, ref number K718. Your mobile will be charged £4.50. Should your tone not arrive please call customer services on 09065069120"
spam,And now electricity just went out fml.
ham,"Dear Voucher Holder, To claim this weeks offer, at you PC please go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply. To stop texts, txt STOP to 80062"
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
spam,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ? 
ham,When i have stuff to sell i.ll tell you
spam,K:)k.are you in college?
spam,You have won a guaranteed £200 award or even £1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX
spam,Hey mate. Spoke to the mag people. We‘re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. 
spam,How are you. Just checking up on you
ham,Hey!!! I almost forgot ... Happy B-day babe ! I love ya!!
ham,"Lol ... Oh no babe, I wont be sliding into your place after midnight, but thanks for the invite"
ham,So what about you. What do you remember
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,Let me know how it changes in the next 6hrs. It can even be appendix but you are out of that age range. However its not impossible. So just chill and let me know in 6hrs
spam,(You didn't hear it from me)
ham,"Right on brah, see you later"
spam,But i haf enuff space got like 4 mb...
spam,"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life."
spam,S but not able to sleep.
spam,Hey mr whats the name of that bill brison book the one about language and words 
ham,Yup song bro. No creative. Neva test quality. He said check review online.
spam,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng."
ham,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
ham,All was well until slightly disastrous class this pm with my fav darlings! Hope day off ok. Coffee wld be good as can't stay late tomorrow. Same time + place as always?
spam,"Yes, my reg is  Ciao!"
ham,"Sorry, I can't help you on this."
ham,"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc."
ham,Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only
spam,"That day ü say ü cut ur hair at paragon, is it called hair sense? Do ü noe how much is a hair cut? "
ham,"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x"
ham,Pete can you please ring meive hardly gotany credit
ham,I need to come home and give you some good lovin...
spam,"Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose."
ham,Ur TONEXS subscription has been renewed and you have been charged £4.50. You can choose 10 more polys this month. www.clubzed.co.uk *BILLING MSG*
ham,CHEERS LOU! YEAH WAS A GOODNITE SHAME U NEVA CAME! C YA GAILxx
ham,What not under standing.
spam,Ok lor ü reaching then message me.
spam,Hey. You got any mail?
spam,There generally isn't one. It's an uncountable noun - u in the dictionary. pieces of research?
ham,"Fuuuuck I need to stop sleepin, sup"
ham,No problem. Talk to you later
spam,"He is impossible to argue with and he always treats me like his sub, like he never released me ... Which he did and I will remind him of that if necessary"
spam,Not able to do anything.
spam,I'm on da bus going home...
ham,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
ham,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04
spam,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE
spam,How come she can get it? Should b quite diff to guess rite...
ham,If you have belive me. Come to my home.
spam,Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16
spam,So why didnt you holla?
ham,I dunno they close oredi not... Ü v ma fan...
spam,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
ham,Come to my home for one last time i wont do anything. Trust me.
ham,Ugh its been a long day. I'm exhausted. Just want to cuddle up and take a nap
spam,"Oh right, ok. I'll make sure that i do loads of work during the day!  got a really nasty cough today and is dry n shot so that should really help it!"
spam,I wont. So wat's wit the guys
ham,:-( that's not v romantic!
spam,Tell rob to mack his gf in the theater
ham,"K, want us to come by now?"
spam,* Am on my way
ham,I'll let you know when it kicks in
spam,Yeah sure I'll leave in a min
spam,I wud never mind if u dont miss me or if u dont need me.. But u wil really hurt me wen u need me &amp; u dont tell me......... Take care:-)
spam,FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242
spam,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX
ham,"44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705."
spam,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p
ham,Is ur paper today in e morn or aft?
spam,Feel Yourself That You Are Always Happy.. Slowly It Becomes Your Habit &amp; Finally It Becomes Part Of Your Life.. Follow It.. Happy Morning &amp; Have A Happy Day:)
spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08718738002 Identifier Code: 48922 Expires 21/11/04
ham,Happy birthday... May u find ur prince charming soon n dun work too hard...
spam,If you're thinking of lifting me one then no.
spam,"Buzz! Hey, my Love ! I think of you and hope your day goes well. Did you sleep in ? I miss you babe. I long for the moment we are together again*loving smile*"
ham,Jokin only lar... :-) depends on which phone my father can get lor...
ham,What???? Hello wats talks email address?
ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
ham,Loosu go to hospital. De dont let it careless.
ham,Where at were hungry too
spam,For fear of fainting with the of all that housework you just did? Quick have a cuppa
spam,Dear i am not denying your words please
ham,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop"
spam,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
spam,Someonone you know is trying to contact you via our dating service! To find out who it could be call from your mobile or landline 09064015307 BOX334SK38ch 
ham,Anyway seriously hit me up when you're back because otherwise I have to light up with armand and he always has shit and/or is vomiting
spam,Please ask mummy to call father
spam,From tomorrow onwards eve 6 to 3 work.
spam,Then u drive lor.
spam,All e best 4 ur driving tmr :-)
spam,lyricalladie(21/F) is inviting you to be her friend. Reply YES-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468
ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
spam,"Well the general price is  &lt;#&gt; /oz, let me know if/when/how much you want"
spam,I love to cuddle! I want to hold you in my strong arms right now...
ham,Sos! Any amount i can get pls.
spam,"Theoretically yeah, he could be able to come"
ham,U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
ham,yay! finally lol. i missed our cinema trip last week :-(
ham,Double your mins & txts on Orange or 1/2 price linerental - Motorola and SonyEricsson with B/Tooth FREE-Nokia FREE Call MobileUpd8 on 08000839402 or2optout/HV9D
spam,There is no sense in my foot and penis.
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.
ham,"No i'm not. I can't give you everything you want and need. You actually could do better for yourself on yor own--you've got more money than i do. I can't get work, i can't get a man, i can't pay the rent, i can't even fill my fucking gas tank. yes, i'm stressed and depressed. I didn't even call home for thanksgiving cuz i'll have to tell them i,m up to nothing."
ham,"Cool, text me when you're parked"
spam,"K, I'll work something out"
spam,Are u coming to the funeral home
ham,So wats ur opinion abt him and how abt is character?
ham,"Cool, text me when you head out"
spam,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
ham,Hope this text meets you smiling. If not then let this text give you a reason to smile. Have a beautiful day.
spam,Actually I decided I was too hungry so I haven't left yet :V
ham,Are you free now?can i call now?
ham,So when you gonna get rimac access 
spam,Please CALL 08712402578 immediately as there is an urgent message waiting for you
ham,"After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao..."
spam,Tell them no need to investigate about me anywhere.
spam,Can u get pic msgs to your phone?
spam,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
spam,"URGENT!! Your 4* Costa Del Sol Holiday or £5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Cost£1.50/pm, Max10mins"
spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
ham,I'd like to tell you my deepest darkest fantasies. Call me 09094646631 just 60p/min. To stop texts call 08712460324 (nat rate)
ham,Lol or I could just starve and lose a pound by the end of the day.
ham,I'm home. Ard wat time will u reach?
spam,Hi kindly give us back our documents which we submitted for loan from STAPATI
ham,You are not bothering me but you have to trust my answers. Pls.
ham,Somebody should go to andros and steal ice
ham,I have many dependents
ham,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie
ham,I don know account details..i will ask my mom and send you.my mom is out of reach now.
ham,"Urgent! Please call 0906346330. Your ABTA complimentary 4* Spanish Holiday or £10,000 cash await collection SAE T&Cs BOX 47 PO19 2EZ 150ppm 18+"
spam,Hi dear we saw dear. We both are happy. Where you my battery is low
spam,Yes. Nigh you cant aha.
spam,Ok..
ham,I love to give massages. I use lots of baby oil... What is your fave position?
spam,Who u talking about?
ham,Have you started in skye
spam,Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night
spam,Then we wait 4 u lor... No need 2 feel bad lar...
spam,Yup next stop.
ham,What your plan for pongal?
ham,Well i know Z will take care of me. So no worries.
spam,K.i did't see you.:)k:)where are you now?
ham,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins."
ham,I was about to do it when i texted. I finished a long time ago and showered and er'ything!
ham,"If i let you do this, i want you in the house by 8am."
ham,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.
ham,Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................
ham,Are you the cutest girl in the world or what
spam,WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm
spam,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
ham,"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply"
spam,U coming 2 pick me?
ham,Yes! How is a pretty lady like you single?
ham,"Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,Should i send you naughty pix? :)
ham,"I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time..."
spam,I'm not coming home 4 dinner.
ham,Ya had just now.onion roast.
spam,Fine. Do you remember me.
ham,Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again
spam,Ok enjoy . R u there in home.
ham,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts
ham,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?
spam,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
spam,great princess! I love giving and receiving oral. Doggy style is my fave position. How about you? I enjoy making love  &lt;#&gt;  times per night :)
ham,Is that what time you want me to come?
spam,Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.
ham,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
spam,ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.
spam,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.
ham,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam
spam,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
ham,Shant disturb u anymore... Jia you...
ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
ham,Hey tmr maybe can meet you at yck
ham,What can i do? Might accidant tookplace between somewhere ghodbandar rd. Traffic moves slovely. So plz slip &amp; don't worry.
spam,"Thanks da thangam, i feel very very happy dear. I also miss you da."
ham,"It‘s reassuring, in this crazy world."
ham,Just sent it. So what type of food do you like?
spam,"Nah can't help you there, I've never had an iphone"
ham,I'm wif him now buying tix lar...
spam,Pls pls find out from aunt nike.
ham,Tell me something. Thats okay.
spam,"My friend just got here and says he's upping his order by a few grams (he's got $ &lt;#&gt; ), when can you get here?"
spam,I'm in office now da:)where are you?
spam,I think u have the wrong number.
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Aiyah ok wat as long as got improve can already wat...
spam,R we still meeting 4 dinner tonight?
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea"
spam,"Ah, well that confuses things, doesn‘t it?"
ham,"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night...."
spam,How come i din c ü... Yup i cut my hair...
spam,I cant keep talking to people if am not sure i can pay them if they agree to price. So pls tell me what you want to really buy and how much you are willing to pay
ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
ham,"That's cool, I'll come by like  &lt;#&gt; ish"
spam,So i asked how's anthony. Dad. And your bf
ham,"Sir, hope your day is going smoothly. i really hoped i wont have to bother you about this. I have some bills that i can't settle this month. I am out of all extra cash. I know this is a challenging time for you also but i have to let you know."
spam,So lets make it saturday or monday as per convenience.
ham,You said not now. No problem. When you can. Let me know.
spam,"Im sorry bout last nite it wasnt ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx"
spam,"09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
ham,Will ü b going to esplanade fr home?
spam,"A bit of Ur smile is my hppnss, a drop of Ur tear is my sorrow, a part of Ur heart is my life, a heart like mine wil care for U, forevr as my GOODFRIEND"
ham,"Got ur mail Dileep.thank you so muchand look forward to lots of support...very less contacts here,remember one venugopal you mentioned.tomorrow if not late,i shall try to come up till there.goodnight dear."
spam,"K, can that happen tonight?"
ham,Hi Chachi tried calling u now unable to reach u .. Pl give me a missed cal once u c tiz msg  Kanagu
ham,Howz pain.it will come down today.do as i said ystrday.ice and medicine.
ham,I tot it's my group mate... Lucky i havent reply... Wat time do ü need to leave... 
ham,-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
spam,Uncle boye. I need movies oh. Guide me. Plus you know torrents are not particularly legal here. And the system is slowing down. What should i do. Have a gr8 day. Plus have you started cos i dont meet you online. How was the honey moon.
ham,One small prestige problem now.
spam,No rushing. I'm not working. I'm in school so if we rush we go hungry.
ham,He is a womdarfull actor
ham,U having lunch alone? I now so bored...
spam,Bring tat cd don forget
spam,"Just making dinner, you ?"
ham,You're not sure that I'm not trying to make xavier smoke because I don't want to smoke after being told I smoke too much?
ham,Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists.
spam,Probably gonna swing by in a wee bit
spam,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8
spam,"Hi Chikku, send some nice msgs"
ham,"Yeah sure, give me a couple minutes to track down my wallet"
ham,"Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*"
spam,You have 1 new message. Call 0207-083-6089
spam,Dont think so. It turns off like randomlly within 5min of opening
ham,"Good morning, my boytoy! How's those yummy lips ? Where's my sexy buns now ? What do you do ? Do you think of me ? Do you crave me ? Do you need me ?"
ham,No i am not having not any movies in my laptop
ham,"Ya tel, wats ur problem.."
spam,Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!
ham,Win a £1000 cash prize or a prize worth £5000
ham,I was just callin to say hi. Take care bruv!
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak
spam,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise."
ham,"Sorry man, my stash ran dry last night and I can't pick up more until sunday"
ham,Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
ham,HELLO PEACH! MY CAKE TASTS LUSH!
ham,Think + da. You wil do.
spam,Sunshine Quiz! Win a super Sony DVD recorder if you canname the capital of Australia? Text MQUIZ to 82277. B
ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
ham,Really? I crashed out cuddled on my sofa.
spam,I dont know why she.s not getting your messages
ham,Oh yeah clearly it's my fault
spam,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
spam,Leave it. U will always be ignorant.
ham,Gud ni8.swt drms.take care
spam,Also remember the beads don't come off. Ever.
ham,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
spam,"Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?"
ham,What he said is not the matter. My mind saying some other matter is there.
spam,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
spam,In that case I guess I'll see you at campus lodge
spam,"Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50"
ham,It took Mr owl 3 licks
ham,"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
ham,Raviyog Peripherals bhayandar east
